"layer_key","form_type","label","description","layer_name","geometry","symbol","color","label_expression"
"form_cabin_visit","cabin_visit","CABIN Visit","CABIN Benthic Site Visit"," Form CABIN Visit","point","marker_circle","#6A3D9A","concat( ""site_code"" , ' - ' ,  ""site_visit_date"" )"
"form_edna","edna","eDNA","Environmental DNA Sampling"," Form eDNA","point","","",""
"form_exceedance","exceedance","Exceedance","LRMP Zero-Target Exceedance"," Form Exceedance","point","marker_cross_fill","#E31AC8",""
"form_fhap","fhap","FHAP","Fish Habitat Assessment Protocol"," Form FHAP","point","","",""
"form_fish_passage_monitoring","monitoring_fish_passage","Fish Passage Monitoring","Fish Passage Effectiveness Monitoring"," Form Fish Passage Monitoring","point","marker_cross_fill","#1F78B4",""
"form_fish_sample","fish_sample","Fish Sample","Fish Individual Sample Data"," Form Fish Sample","point","","",""
"form_fiss_site","fiss_site","FISS Site","Fish Habitat Site Assessment"," Form FISS Site","point","marker_circle_outline","#33A02C","concat( ""local_name"" + ' - ' +  ""gazetted_names"" )"
"form_monitoring","monitoring","Monitoring","Restoration Monitoring"," Form Monitoring","point","","",""
"form_pscis","pscis","PSCIS","Fish Passage Stream Crossing Assessment"," Form PSCIS","point","marker_star_shadow","#B80808","concat(  ""pscis_crossing_id"" , '_',  ""my_crossing_reference"" , '_risk - ',   ""overall_rank"" )"
"form_trail_feature","trail_feature","Trail Feature","Trail Feature Observation"," Form Trail Feature","point","marker_cross_fill","#B15928",""
"form_transition_qa","transition_qa","Transition QA","Land Cover Transition QA"," Form Transition QA","point","marker_cross_fill","#FF7F00",""
"form_viewscape","viewscape","Viewscape","Viewscape Repeat Photo Station"," Form Viewscape","point","marker_cross_fill","#751AE3",""
"form_vri_qa","vri_qa","VRI QA","VRI Polygon Field QA"," Form VRI QA","point","marker_cross_fill","#008C3C",""
