"layer_key","layer","template","scope","kind"
"habitat_lateral","habitat_lateral","*","shared","raster"
"bing_aerial","Bing Aerial","*","shared","service"
"esri_satellite","Esri Satellite","*","shared","service"
"esri_world_topo","ESRI World Topo","*","shared","service"
"fire_perimeters_current","Fire Perimeters - Current","*","shared","service"
"frep_rip2021_mar2022","FREP_RIP2021_MAR2022","*","shared","service"
"google_satellite","Google Satellite","*","shared","service"
"bcfishobs_fiss_fish_observations","bcfishobs FISS fish observations","*","shared","vector"
"biogeoclimatic_ecosystem_classification"," Biogeoclimatic Ecosystem Classification","*","shared","vector"
"conservancy","Conservancy","*","shared","vector"
"crossings_modelled","Crossings - modelled","*","shared","vector"
"crossings_pscis_assessment","Crossings - PSCIS assessment","*","shared","vector"
"crossings_pscis_confirmation","Crossings - PSCIS confirmation","*","shared","vector"
"crossings_pscis_design","Crossings - PSCIS Design","*","shared","vector"
"crossings_pscis_modelled_dams","Crossings - PSCIS,  modelled, dams","*","shared","vector"
"crossings_pscis_remedation","Crossings - PSCIS Remedation","*","shared","vector"
"fire_historical_burn","Fire Historical Burn","*","shared","vector"
"fire_severity","Fire Severity","*","shared","vector"
"first_nation_reserve","First Nation Reserve","*","shared","vector"
"fisheries_sensitive_watersheds","Fisheries Sensitive Watersheds","*","shared","vector"
"fisheries_sensitive_watersheds","Fisheries Sensitive Watersheds","bcfishpass_mobile","override","vector"
"fiss_obstacles","FISS obstacles","*","shared","vector"
"fiss_stream_sample_sites","FISS stream sample sites","*","shared","vector"
"floodplains","Floodplains","*","shared","vector"
"glaciers","Glaciers","*","shared","vector"
"hydrometric_stations_environment_canada","Hydrometric Stations Environment Canada","*","shared","vector"
"lake","Lake","*","shared","vector"
"land_ownership","Land Ownership","*","shared","vector"
"land_ownership","Land Ownership","bcfishpass_mobile","override","vector"
"manmade_waterbodies","Manmade Waterbodies","*","shared","vector"
"moti_culverts","MoTi Culverts","*","shared","vector"
"moti_major_structures","MoTi major structures","*","shared","vector"
"municipalities","Municipalities","*","shared","vector"
"national_park","National park","*","shared","vector"
"old_growth_management_areas","Old Growth Management Areas","*","shared","vector"
"orthophoto_tiles","Orthophoto Tiles","*","shared","vector"
"parameters_habitat_method","parameters_habitat_method","*","shared","vector"
"parameters_habitat_thresholds","parameters_habitat_thresholds","*","shared","vector"
"pipeline_application","Pipeline application","*","shared","vector"
"pipeline_installed","Pipeline installed","*","shared","vector"
"pipeline_permit","Pipeline permit","*","shared","vector"
"provincial_park","Provincial park","*","shared","vector"
"railway","Railway","*","shared","vector"
"range_tenure","Range Tenure","*","shared","vector"
"range_tenure","Range Tenure","bcfishpass_mobile","override","vector"
"roads_dra","Roads - DRA","*","shared","vector"
"roads_ften","Roads - FTEN","*","shared","vector"
"stream_labels","Stream labels","*","shared","vector"
"streams_all","Streams - all","*","shared","vector"
"streams_bt","streams_bt","*","shared","vector"
"streams_salmon","streams_salmon","*","shared","vector"
"streams_st","streams_st","*","shared","vector"
"terrain_mapping_project_boundaries","Terrain Mapping Project Boundaries","*","shared","vector"
"terrestrial_ecosystem_information_scanned_map_boundary","Terrestrial Ecosystem Information Scanned Map Boundary","*","shared","vector"
"tracking","Tracking","*","shared","vector"
"trails","Trails","*","shared","vector"
"transmission_line","Transmission line","*","shared","vector"
"utm_zones","UTM Zones","*","shared","vector"
"watershed_group_boundary","Watershed group boundary","*","shared","vector"
"wetland","Wetland","*","shared","vector"
